subject,neuron,best_bin_ms,best_gamma,overall_accuracy,preferred_number,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFS,59,450,0.8,0.16287878787878787,5,0.03125,0.24242424242424243,0.0,0.0,0.375,0.2916666666666667,0.0,0.36666666666666664,0.13793103448275862
YFS,75,100,0.8,0.17045454545454544,3,0.21875,0.15151515151515152,0.3333333333333333,0.030303030303030304,0.09375,0.2916666666666667,0.25925925925925924,0.16666666666666666,0.06896551724137931
YFS,81,300,0.8,0.1553030303030303,7,0.03125,0.09090909090909091,0.2916666666666667,0.15151515151515152,0.0,0.25,0.5185185185185185,0.16666666666666666,0.0
YFS,93,300,0.5,0.15151515151515152,8,0.09375,0.0,0.041666666666666664,0.30303030303030304,0.0,0.0,0.0,0.7333333333333333,0.13793103448275862
YFS,95,300,0.2,0.17424242424242425,2,0.09375,0.48484848484848486,0.0,0.30303030303030304,0.03125,0.0,0.3333333333333333,0.2,0.034482758620689655
YFS,96,225,0.2,0.1553030303030303,7,0.1875,0.09090909090909091,0.0,0.030303030303030304,0.0,0.375,0.4444444444444444,0.23333333333333334,0.10344827586206896
YFT,10,180,0.8,0.14465408805031446,9,0.04838709677419355,0.0,0.038461538461538464,0.19298245614035087,0.0,0.10714285714285714,0.09302325581395349,0.0,0.7678571428571429
YFT,13,450,0.2,0.16981132075471697,1,0.8387096774193549,0.0,0.0,0.2982456140350877,0.0,0.21428571428571427,0.0,0.0,0.0
YFT,14,75,0.8,0.14465408805031446,9,0.016129032258064516,0.041666666666666664,0.057692307692307696,0.14035087719298245,0.03773584905660377,0.0,0.0,0.08,0.875
YFT,22,90,0.2,0.13626834381551362,1,1.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
YFT,25,75,0.5,0.1530398322851153,9,0.20967741935483872,0.041666666666666664,0.11538461538461539,0.05263157894736842,0.018867924528301886,0.0,0.0,0.04,0.8214285714285714
YFT,28,100,0.2,0.14465408805031446,9,0.04838709677419355,0.0625,0.038461538461538464,0.22807017543859648,0.07547169811320754,0.14285714285714285,0.0,0.16,0.5
YFT,33,90,0.8,0.16352201257861634,9,0.04838709677419355,0.0625,0.019230769230769232,0.08771929824561403,0.1320754716981132,0.03571428571428571,0.11627906976744186,0.1,0.8392857142857143
YFT,47,450,0.8,0.1509433962264151,2,0.0,0.6041666666666666,0.0,0.0,0.18867924528301888,0.2857142857142857,0.0,0.0,0.30357142857142855
YFT,48,300,0.5,0.14046121593291405,5,0.0,0.2916666666666667,0.0,0.017543859649122806,0.3018867924528302,0.26785714285714285,0.06976744186046512,0.16,0.17857142857142858
YFT,50,60,0.5,0.16981132075471697,2,0.25806451612903225,0.3125,0.11538461538461539,0.03508771929824561,0.11320754716981132,0.26785714285714285,0.2558139534883721,0.14,0.05357142857142857
YFT,51,150,0.2,0.1530398322851153,7,0.03225806451612903,0.020833333333333332,0.25,0.15789473684210525,0.1509433962264151,0.08928571428571429,0.2558139534883721,0.24,0.21428571428571427
YFT,75,180,0.2,0.14465408805031446,3,0.04838709677419355,0.3541666666666667,0.38461538461538464,0.19298245614035087,0.018867924528301886,0.10714285714285714,0.16279069767441862,0.08,0.0
YFT,78,75,0.2,0.14465408805031446,8,0.16129032258064516,0.020833333333333332,0.038461538461538464,0.03508771929824561,0.05660377358490566,0.21428571428571427,0.16279069767441862,0.52,0.10714285714285714
YFU,22,900,0.2,0.15182186234817813,2,0.1509433962264151,0.5074626865671642,0.038461538461538464,0.43548387096774194,0.0,0.020833333333333332,0.015384615384615385,0.02040816326530612,0.02127659574468085
YFU,23,450,0.5,0.13765182186234817,1,0.4339622641509434,0.04477611940298507,0.3269230769230769,0.06451612903225806,0.0,0.020833333333333332,0.23076923076923078,0.0,0.10638297872340426
YFU,24,90,0.2,0.1396761133603239,1,0.24528301886792453,0.11940298507462686,0.15384615384615385,0.12903225806451613,0.11764705882352941,0.20833333333333334,0.15384615384615385,0.10204081632653061,0.02127659574468085
YFU,25,60,0.2,0.14979757085020243,2,0.0,0.7014925373134329,0.07692307692307693,0.03225806451612903,0.058823529411764705,0.0625,0.06153846153846154,0.12244897959183673,0.10638297872340426
YFU,26,100,0.8,0.13360323886639677,3,0.0,0.13432835820895522,0.28846153846153844,0.03225806451612903,0.2549019607843137,0.125,0.13846153846153847,0.10204081632653061,0.14893617021276595
YFU,30,75,0.8,0.1417004048582996,4,0.18867924528301888,0.04477611940298507,0.19230769230769232,0.24193548387096775,0.058823529411764705,0.1875,0.1076923076923077,0.14285714285714285,0.1276595744680851
YFU,31,300,0.2,0.14979757085020243,4,0.32075471698113206,0.19402985074626866,0.21153846153846154,0.3225806451612903,0.0784313725490196,0.0,0.07692307692307693,0.061224489795918366,0.02127659574468085
YFU,32,180,0.2,0.1437246963562753,1,0.2641509433962264,0.04477611940298507,0.17307692307692307,0.22580645161290322,0.0196078431372549,0.125,0.16923076923076924,0.08163265306122448,0.19148936170212766
YFU,33,225,0.5,0.15182186234817813,3,0.20754716981132076,0.04477611940298507,0.4423076923076923,0.22580645161290322,0.09803921568627451,0.020833333333333332,0.15384615384615385,0.0,0.1702127659574468
YFU,34,60,0.5,0.16396761133603238,7,0.16981132075471697,0.11940298507462686,0.11538461538461539,0.22580645161290322,0.23529411764705882,0.020833333333333332,0.2923076923076923,0.10204081632653061,0.14893617021276595
YFU,39,450,0.2,0.145748987854251,1,0.41509433962264153,0.11940298507462686,0.019230769230769232,0.4032258064516129,0.0,0.25,0.0,0.04081632653061224,0.0425531914893617
YFU,40,90,0.2,0.16396761133603238,2,0.03773584905660377,0.7761194029850746,0.07692307692307693,0.0967741935483871,0.0784313725490196,0.0625,0.09230769230769231,0.08163265306122448,0.0
YFU,41,90,0.5,0.145748987854251,5,0.05660377358490566,0.029850746268656716,0.1346153846153846,0.16129032258064516,0.23529411764705882,0.20833333333333334,0.23076923076923078,0.10204081632653061,0.1702127659574468
