trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
273,1,3,2079025.6,19,21.11111111111111
273,2,8,2079775.6,20,22.22222222222222
274,1,3,2085742.16666667,18,20.0
274,2,2,2086492.13333333,27,30.0
275,2,2,2092392.03333333,21,23.333333333333332
276,1,4,2095308.66666667,16,17.77777777777778
276,2,2,2096058.63333333,23,25.555555555555554
277,2,4,2103525.2,27,30.0
278,1,6,2111325.06666667,14,15.555555555555555
278,2,9,2112075.03333333,20,22.22222222222222
279,1,8,2120458.23333333,19,21.11111111111111
279,2,5,2121208.23333333,24,26.666666666666664
280,1,6,2130158.06666667,22,24.444444444444443
280,2,7,2130908.06666667,17,18.88888888888889
281,1,3,2140907.9,12,13.333333333333332
281,2,4,2141657.86666667,10,11.11111111111111
282,1,5,2147174.43333333,26,28.88888888888889
282,2,1,2147924.43333333,22,24.444444444444443
283,1,1,2152591.03333333,16,17.77777777777778
283,2,4,2153341.0,18,20.0
284,2,4,2161774.2,11,12.222222222222221
285,1,1,2166290.8,26,28.88888888888889
285,2,9,2167040.76666667,28,31.11111111111111
286,1,6,2171924.03333333,27,30.0
287,1,8,2179257.23333333,16,17.77777777777778
288,1,4,2188407.06666667,11,12.222222222222221
288,2,4,2189157.06666667,14,15.555555555555555
289,1,4,2195956.93333333,17,18.88888888888889
289,2,6,2196706.93333333,19,21.11111111111111
290,1,7,2207956.73333333,18,20.0
290,2,2,2208706.73333333,17,18.88888888888889
291,1,1,2215156.63333333,18,20.0
291,2,4,2215906.6,20,22.22222222222222
292,1,6,2220023.2,16,17.77777777777778
292,2,7,2220773.2,20,22.22222222222222
293,1,7,2230139.7,17,18.88888888888889
293,2,4,2230889.66666667,24,26.666666666666664
294,1,5,2239139.53333333,32,35.55555555555556
294,2,1,2239889.53333333,21,23.333333333333332
295,1,2,2243689.46666667,24,26.666666666666664
295,2,8,2244439.46666667,18,20.0
296,1,6,2250156.0,19,21.11111111111111
297,1,4,2254472.6,21,23.333333333333332
297,2,5,2255222.6,15,16.666666666666668
298,1,4,2261772.5,18,20.0
298,2,2,2262522.46666667,14,15.555555555555555
