subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason,raw_significant,fdr_q,fdr_significant
YFL,73,hpc,HPC,100,114,150.0,0.2,0.175438596491228,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFL,74,hpc,HPC,100,114,180.0,0.8,0.1140350877192982,0.4676616915422885,93.0,False,True,,False,0.5256362814029027,False
YFL,75,hpc,HPC,100,114,60.0,0.2,0.131578947368421,0.3532338308457711,70.0,False,True,,False,0.4298863623715872,False
YFL,76,hpc,HPC,100,114,60.0,0.2,0.131578947368421,0.2835820895522388,56.0,False,True,,False,0.3847098671232366,False
YFL,77,hpc,HPC,100,114,100.0,0.2,0.1842105263157894,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFL,78,hpc,HPC,100,114,75.0,0.2,0.175438596491228,0.0547263681592039,10.0,False,True,,False,0.18043117744610257,False
YFL,79,ent,ENT,100,114,60.0,0.8,0.1052631578947368,0.6069651741293532,121.0,False,True,,False,0.6386635487937489,False
YFL,80,ent,ENT,100,114,100.0,0.5,0.1666666666666666,0.1144278606965174,22.0,False,True,,False,0.24800301282432458,False
YFL,81,ent,ENT,100,114,60.0,0.5,0.1052631578947368,0.4577114427860697,91.0,False,True,,False,0.5187396351575456,False
YFL,82,ent,ENT,100,114,180.0,0.2,0.131578947368421,0.3034825870646766,60.0,False,True,,False,0.3987790516018939,False
